name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Amlodipino/Benazepril,Bloq Canales Ca/IECA,Amlodipino 2.5-10 mg / Benazepril 10-40 mg,Una vez al día,10 mg Amlodipino / 40 mg Benazepril día,Oral,Hipertensión arterial,"Edema periférico, tos seca, mareo, cefalea, fatiga","Hipersensibilidad a IECA, angioedema, embarazo, uso concomitante aliskireno en diabéticos/I.R."
Amoxapina,Antidepresivo Tricíclico,Inicial: 25-50 mg; Mantenimiento: 150-300 mg,2-3 veces al día o dosis única HS,400 mg/día,Oral,"Depresión neurótica, reactiva, endógena, psicótica","Sedación, boca seca, visión borrosa, estreñimiento, efectos extrapiramidales, SNM","Hipersensibilidad, uso concomitante IMAO, fase aguda recuperación post-IAM, glaucoma ángulo estrecho"
Amoxicilina/Clavulanato Potásico,Antibiótico Betalactamasa,Oral: 500/125 mg TID o 875/125 mg 2 veces/día; IV: 1000/200 mg TID,Cada 8 o 12 horas,Oral: 1750/250 mg día; IV: 6000/1200 mg día,"Oral, IV","Infecciones respiratorias, ORL, piel, ITU, intraabdominales","Diarrea, náuseas, vómitos, rash, vaginitis, ictericia colestásica","Hipersensibilidad a penicilinas, antecedentes ictericia/disfunción hepática asociada a amoxi/clav"
Ampicilina,Antibiótico,Oral: 250-500 mg; IV/IM: 1-2 g,Cada 6 horas,Oral: 4 g/día; IV/IM: 14 g/día,Oral IV IM,"Infecciones respiratorias, urinarias, GI, piel/tejidos blandos, meningitis, endocarditis, sepsis","Rash, urticaria, diarrea, náuseas, vómitos, sobreinfección Candida, anafilaxia",Hipersensibilidad a penicilinas
Ampicilina Sódica,Antibiótico,1-2 g,Cada 4-6 horas,14 g/día,"IV, IM","Infecciones graves respiratorias, urinarias, GI, piel, meningitis, endocarditis, sepsis","Rash, urticaria, diarrea, náuseas, flebitis, anafilaxia",Hipersensibilidad a penicilinas
Ampicilina/Sulbactam,Antibiótico/Inhibidor Betalactamasa,1 g Ampicilina / 0.5 g Sulbactam ó 2 g Ampicilina / 1 g Sulbactam,Cada 6 horas,12 g ampicilina/día,"IV, IM","Infecciones piel/tejidos blandos, intraabdominales, ginecológicas","Dolor sitio, flebitis, diarrea, rash, náuseas, aumento transaminasas","Hipersensibilidad a penicilinas, antecedentes ictericia/disfunción hepática asociada"
Amprenavir,Inhibidor Proteasa,1200 mg,Dos veces al día,2400 mg/día,Oral,Infección por VIH-1,"Rash, náuseas, diarrea, vómitos, parestesias orales/periorales, cefalea, fatiga, hiperlipidemia","Hipersensibilidad, I.H. grave, uso concomitante ciertos fármacos CYP3A4"
Anagrelida,Agente Reductor Plaquetas,Inicial: 0.5-1 mg/día; Mantenimiento: 1-3 mg/día,Una o dos veces al día,10 mg/día,Oral,Trombocitemia esencial,"Cefalea, palpitaciones, diarrea, astenia, náuseas, dolor abdominal, mareo, edema, riesgo cardiovascular",Hipersensibilidad
Anakinra,Antagonista Receptor IL-1,100 mg,Una vez al día,100 mg/día,Subcutáneo,"Artritis Reumatoide, Enfermedad Still, Síndromes Periódicos Asociados a Criopirina","Reacción sitio, cefalea, infecciones respiratorias altas, náuseas, diarrea, neutropenia","Hipersensibilidad, neutropenia absoluta <1.5 x 10⁹/L, infecciones activas graves"
Anakinra Inyectable,Antagonista Receptor IL-1,100 mg,Una vez al día,100 mg/día,Subcutáneo,"Artritis Reumatoide, Enfermedad Still, Síndromes Periódicos Asociados a Criopirina","Reacción sitio, cefalea, infecciones respiratorias altas, náuseas, diarrea, neutropenia","Hipersensibilidad, neutropenia absoluta <1.5 x 10⁹/L, infecciones activas graves"
Anastrozol,Inhibidor de Aromatasa no esteroideo,1 mg,1 vez/día,1 mg/día,Oral,"Cáncer de mama, receptor hormonal positivo","Sofocos, artralgia, rigidez articular, cefalea, erupción cutánea, sequedad vaginal, osteoporosis, hipercolesterolemia","Hipersensibilidad, embarazo, lactancia, premenopausia, insuficiencia renal o hepática grave (precaución)"
Andexanet Alfa,Antídoto,Dosis baja: Bolo 400 mg + Infusión 4 mg/min x 120min; Dosis alta: Bolo 800 mg + Infusión 8 mg/min x 120min,Bolo seguido de infusión según necesidad,800 mg bolo + 8 mg/min infusión,IV,Reversión anticoagulación Inhibidores Factor Xa Rivaroxaban/Apixaban,"Eventos tromboembólicos, reacciones relacionadas infusión, síntomas tipo ITU",Hipersensibilidad
Anfotericina B,Antifúngico,Convencional (desoxicolato): 0.25-1.0 mg/kg/día; Liposomal: 3-5 mg/kg/día,1 vez/día (infusión IV lenta),Convencional: 1.5 mg/kg/día; Liposomal: Dosis según indicación (hasta 10 mg/kg/día en ciertas micosis),IV,"Infecciones fúngicas sistémicas graves (Candidiasis invasiva, Aspergilosis, Criptococosis, Mucormicosis), Leishmaniasis visceral","Reacciones a la infusión (fiebre, escalofríos), nefrotoxicidad, hipopotasemia, hipomagnesemia, anemia, flebitis, toxicidad hepática","Hipersensibilidad, precaución extrema y monitorización en I.R. preexistente"
Anidulafungina,Antifúngico,Carga: 200 mg día 1; Mantenimiento: 100 mg,Una vez al día,100 mg/día mantenimiento,IV,"Candidiasis invasiva, Candidemia","Hipokalemia, diarrea, náuseas, elevación enzimas hepáticas, rash, flushing, cefalea",Hipersensibilidad a equinocandinas
Anidulafungina Inyectable,Antifúngico,Carga: 200 mg día 1; Mantenimiento: 100 mg,Una vez al día,100 mg/día mantenimiento,IV,"Candidiasis invasiva, Candidemia","Hipokalemia, diarrea, náuseas, elevación enzimas hepáticas, rash, flushing, cefalea",Hipersensibilidad a equinocandinas
Anistreplasa,Trombolítico,30 unidades,Bolo IV único en 2-5 minutos,30 unidades,IV,Infarto Agudo Miocardio,"Sangrado, hipotensión, reacciones alérgicas/anafilactoides, arritmias reperfusión","Hipersensibilidad, sangrado activo/reciente interno, ACV hemorrágico previo, neoplasia intracraneal, HTA severa no controlada, cirugía/trauma intracraneal/espinal reciente"
Apalutamida,Antiandrógeno,240 mg,Una vez al día,240 mg/día,Oral,Cáncer próstata resistente/sensible a castración no metastásico; Cáncer próstata sensible a castración metastásico,"Fatiga, rash, HTA, sofocos, diarrea, caídas, fracturas, hipotiroidismo, riesgo eventos CV/isquémicos","Hipersensibilidad, embarazo"
Apixabán,Anticoagulante (Inhibidor directo Factor Xa),"Prevención TEV (cirugía): 2.5 mg; FA no valvular / Tto TVP-EP: 5 mg (o 2.5 mg si ≥2 criterios: ≥80 años, ≤60 kg, Cr ≥1.5 mg/dL); Prevención secundaria TVP-EP: 2.5 mg",Dos veces al día,FA/Tto TVP-EP: 10 mg/día (5 mg 2 veces/día); Prevención/Secundaria: 5 mg/día (2.5 mg 2 veces/día),Oral,"Prevención TEV, anticoaglación en FA no valvular","Sangrado, anemia, contusión, náuseas","Sangrado activo clínicamente significativo, enfermedad hepática asociada a coagulopatía, lesión/condición con riesgo significativo de sangrado mayor, hipersensibilidad"
Apomorfina,Agonista Dopaminérgico,Inicial: 2 mg; Titular según respuesta,SC según necesidad,10 mg/dosis; 100 mg/día,Subcutánea,Tratamiento episodios OFF Enfermedad Parkinson avanzada,"Náuseas, vómitos, somnolencia, mareo, hipotensión ortostática, reacciones sitio, discinesias, alucinaciones","Hipersensibilidad, depresión respiratoria severa, demencia severa, enfermedad psicótica, I.H. severa, uso concomitante antagonistas 5HT3"
Apraclonidina,Agonista Alfa-2,1 gota solución 0.5% o 1%,Solución 0.5%: TID; Solución 1%: Pre/Post cirugía,3 gotas/ojo/día,Oftálmico,Control PIO post-cirugía láser; Tto adyuvante glaucoma crónico,"Hiperemia ocular, prurito, molestias oculares, boca seca, fatiga, cefalea, sabor anormal","Hipersensibilidad a apraclonidina/clonidina, uso concomitante IMAO, niños"
Apremilast,Inhibidor PDE4,Titulación inicial hasta 30 mg,Dos veces al día,60 mg/día,Oral,"Artritis psoriásica, Psoriasis en placas moderada/grave, Enfermedad de Behçet","Diarrea, náuseas, cefalea, infección respiratoria alta, pérdida peso, depresión","Hipersensibilidad, embarazo"
Apremilast Tableta,Inhibidor PDE4,Titulación inicial escalonada hasta 30 mg,Dos veces al día,60 mg/día,Oral,"Artritis psoriásica, Psoriasis en placas moderada/grave, Enfermedad de Behçet","Diarrea, náuseas, cefalea, infección respiratoria alta, pérdida peso, depresión","Hipersensibilidad, embarazo"
Aprepitant,Antiemético,"125 mg día 1, luego 80 mg días 2-3",Una vez al día,125 mg/día,Oral,Prevención náuseas/vómitos por quimioterapia; Prevención NVP postoperatorios,"Fatiga, hipo, estreñimiento, diarrea, disminución apetito, cefalea, elevación ALT/AST","Hipersensibilidad, uso concomitante pimozida/terfenadina/astemizol/cisaprida"
Arformoterol Tartrato,Agonista Beta-2,15 mcg,Dos veces al día,30 mcg/día,Inhalación,EPOC,"Dolor espalda, diarrea, sinusitis, calambres musculares, edema periférico, taquicardia, temblor","Hipersensibilidad severa, asma sin corticoide inhalado"
Argatroban,Inhibidor Directo Trombina,Inicial: 2 mcg/kg/min; Ajustar según aPTT,Infusión IV continua,10 mcg/kg/min,IV,Trombocitopenia Inducida por Heparina; Anticoagulación durante ICP,"Sangrado, hematoma, hipotensión, fiebre, diarrea, náuseas","Hipersensibilidad, sangrado activo mayor"
Arginina Clorhidrato,Aminoácido - Vasodilatador,Alcalosis metabólica: Dosis según déficit base; Prueba GH: 0.5 g/kg,Infusión IV única o según protocolo,30 g,IV,Alcalosis metabólica hipoclorémica severa; Prueba estimulación Hormona Crecimiento,"Náuseas, vómitos, cefalea, flushing, parestesias, acidosis metabólica hiperclorémica, extravasación","Hipersensibilidad, anuria, I.H./I.R. severa"
Aripiprazol,Antipsicótico Atípico,"Esquizofrenia/Manía: Inicial 10-15 mg/día, Mant: 15 mg/día; Adyuvante Depresión: Inicial 2-5 mg/día, Mant: 5-15 mg/día",1 vez/día,30 mg/día,"Oral, IM","Esquizofrenia, Trastorno bipolar, Depresión Mayor, Trastorno Autista","Acatisia, insomnio, ansiedad, cefalea, somnolencia/sedación, aumento de peso, síntomas extrapiramidales, hiperglicemia, dislipidemia",Hipersensibilidad
Aripiprazol,Antipsicótico,10-15 mg,Una vez al día,30 mg/día,Oral Dispersable,"Esquizofrenia, Manía Bipolar, Depresión adyuvante, Irritabilidad autismo, Tourette","Acatisia, somnolencia, cefalea, insomnio, agitación, náuseas, vómitos, aumento peso",Hipersensibilidad
Aripiprazol Lauroxil,Antipsicótico Atípico,"441 mg, 662 mg, 882 mg, 1064 mg",IM cada 4,"6 u 8 semanas""",1064 mg/dosis,IM,Esquizofrenia,"Acatisia, insomnio, cefalea, reacción sitio, aumento peso"
Armodafinil,Estimulante (Promotor Vigilia),150 mg,1 vez/día,250 mg/día,Oral,"Narcolepsia, Somnolencia excesiva diurna","Boca seca, ansiedad, diarrea, dispepsia, erupción cutánea (raro, grave), hipertensión","Hipersensibilidad a armodafinilo/modafinilo, antecedentes de hipertrofia ventricular izquierda o prolapso mitral asociados a uso de estimulantes del SNC"
Arsénico Trióxido,Antineoplásico,Inducción/Consolidación: 0.15 mg/kg/día,Infusión IV diaria hasta remisión médula o por ciclos,0.15 mg/kg/día,IV,Leucemia Promielocítica Aguda R/R,"Prolongación QT, Torsades de Pointes, síndrome diferenciación APL, hiperglucemia, fatiga, náuseas, vómitos, diarrea, edema, leucocitosis, neurotoxicidad, hepatotoxicidad",Hipersensibilidad
Artemeter/Lumefantrina,Antimalárico (Combinación fija),Dosificación por peso corporal (ej: 5-<15kg: 1 comp; 15-<25kg: 2 comp; 25-<35kg: 3 comp; ≥35kg: 4 comp) por toma. Comp = 20 mg Artemeter/120 mg Lumefantrina,"Pauta de 6 dosis: Hora 0, 8, 24, 36, 48 y 60",Dosis ajustada al peso corporal,Oral (con alimentos grasos),Tratamiento de malaria aguda no complicada por Plasmodium falciparum,"Cefalea, mareo, anorexia, trastornos del sueño, palpitaciones, tos, dolor abdominal, artralgia, mialgia, fatiga","Hipersensibilidad, malaria grave, primer trimestre embarazo (relativa), uso concomitante con fármacos que prolongan QT o inhibidores potentes CYP3A4, alteraciones electrolíticas"
Asciminib,Inhibidor Tirosina Quinasa,LMC FC: 80 mg QD o 40 mg 2 veces/día; LMC FC mut T315I: 200 mg 2 veces/día,Una o dos veces al día,200 mg 2 veces/día,Oral,Leucemia Mieloide Crónica Ph+,"Mielosupresión, dolor musculoesquelético, fatiga, rash, cefalea, aumento enzimas pancreáticas/hepáticas, HTA, prolongación QT",Hipersensibilidad
Asenapina,Antipsicótico Atípico,Inicial: 5 mg; Mantenimiento: 5-10 mg,Dos veces al día,20 mg/día,Sublingual,Esquizofrenia; Episodios maníacos/mixtos Trastorno Bipolar I,"Somnolencia, mareo, acatisia, aumento peso, hipoestesia/parestesia oral, ansiedad","Hipersensibilidad, I.H. grave"
Asparaginasa,Antineoplásico,Dosis variable según protocolo UI/m²,"IM/IV, frecuencia según protocolo",Según protocolo,"IM, IV",Leucemia Linfoblástica Aguda,"Reacciones hipersensibilidad, pancreatitis, hiperglucemia, trastornos coagulación, hepatotoxicidad, neurotoxicidad, hiperamonemia","Hipersensibilidad, pancreatitis previa grave, hemorragia/trombosis grave previa"
Asparaginasa Erwinia chrysanthemi,Antineoplásico,"25,000 UI/m²",IM/IV 3 veces por semana,"25,000 UI/m²","IM, IV",Leucemia Linfoblástica Aguda,"Reacciones hipersensibilidad/anafilaxia, pancreatitis, hiperglucemia, trastornos coagulación, hepatotoxicidad, neurotoxicidad","Hipersensibilidad a Asparaginasa Erwinia/E. coli, pancreatitis previa grave, hemorragia/trombosis grave previa"
Atazanavir Sulfato,Inhibidor Proteasa,300 mg con Ritonavir 100 mg; o 400 mg sin Ritonavir,Una vez al día con comida,400 mg/día,Oral,Infección por VIH-1,"Hiperbilirrubinemia, ictericia, rash, náuseas, vómitos, diarrea, cefalea, prolongación PR/QT, nefrolitiasis, colelitiasis","Hipersensibilidad, I.H. moderada/grave, uso concomitante ciertos fármacos"
Atenolol,Beta Bloqueador,50-100 mg,Una vez al día,100 mg/día,Oral,"Hipertensión arterial, Angina, Arritmias, IAM","Fatiga, bradicardia, mareo, extremidades frías, hipotensión","Hipersensibilidad, shock cardiogénico, IC descompensada, bloqueo AV 2º-3º grado, bradicardia sinusal severa"
Atenolol/Clortalidona,Betabloqueador cardioselectivo / Diurético tiazídico,Atenolol 50-100 mg / Clortalidona 25 mg,1 vez/día,Atenolol 100 mg / Clortalidona 25 mg al día,Oral,Hipertensión arterial,"Bradicardia, fatiga, mareo, extremidades frías, hipotensión postural, hipopotasemia, hiperuricemia, hiperglucemia, dislipemia","Hipersensibilidad, bloqueo AV 2º-3º grado, shock cardiogénico, insuficiencia cardíaca descompensada, bradicardia sinusal marcada (<50 lpm), anuria, I.R./I.H. grave"
Atezolizumab,Inhibidor PD-L1,"840 mg c/2sem, 1200 mg c/3sem, o 1680 mg c/4sem","Cada 2, 3 o 4 semanas",1680 mg,IV,"Carcinoma urotelial, CPNM, CPM, Carcinoma hepatocelular, Melanoma","Fatiga, disminución apetito, náuseas, tos, disnea, reacciones inmuno-mediadas",Hipersensibilidad
Atomoxetina,Inhibidor Selectivo Recaptación Noradrenalina (ISRN),"Adultos: Inicial 40 mg/día, Mant: 80-100 mg/día; Niños/Adolescentes ≤70kg: Inicial 0.5 mg/kg/día, Mant: 1.2 mg/kg/día; >70kg: Igual que adultos",Una vez día o dos tomas (mañana y tarde/noche),100 mg/día o 1.4 mg/kg/día (sin exceder 100 mg),Oral,"Trastorno por Déficit de Atención e Hiperactividad (TDAH) en niños ≥6 años, adolescentes y adultos como parte de tto. integral","Disminución apetito, insomnio, cefalea, boca seca, náuseas, dolor abdominal, aumento presión arterial y frecuencia cardíaca, ideación suicida (raro, advertencia), hepatotoxicidad (raro)","Hipersensibilidad, uso concomitante con IMAO (o en 14 días), glaucoma ángulo estrecho, feocromocitoma, trastornos cardiovasculares/cerebrovasculares graves"
Atorvastatina/Amlodipino,Estatina/Bloq Canales Ca,Atorvastatina 10-80 mg / Amlodipino 5-10 mg,Una vez al día,Atorvastatina 80 mg / Amlodipino 10 mg día,Oral,Hipercolesterolemia con HTA/Angina,"Edema periférico, mareo, mialgia, elevación transaminasas, nasofaringitis","Hipersensibilidad, enfermedad hepática activa, embarazo, lactancia, uso concomitante inhibidores potentes CYP3A4"
Atovacuona,Antiprotozoario,PJP Tto: 750 mg 2 veces/día; Profilaxis: 1500 mg día,día o 2 veces/día según indicación,1500 mg/día,Oral,Neumonía por Pneumocystis jirovecii; Profilaxis PJP; Profilaxis Toxoplasmosis,"Rash, cefalea, náuseas, diarrea, insomnio, fiebre, elevación transaminasas",Hipersensibilidad
Atracurio Besilato,Bloqueador Neuromuscular,Inicial: 0.4-0.5 mg/kg; Mantenimiento: 0.08-0.1 mg/kg o infusión,Bolos IV según necesidad o infusión continua,0.5 mg/kg,IV,Relajación muscular cirugía/UCI,"Hipotensión, flushing, broncoespasmo, reacciones cutáneas, liberación histamina",Hipersensibilidad
Atropina,Anticolinérgico (Antagonista muscarínico no selectivo),"Bradicardia: 0.5 - 1 mg IV; Premedicación: 0.3 - 0.6 mg IM/SC/IV; Antídoto Organofosforados: Inicial 1-2 mg IV/IM, repetir dosis altas",Bradicardia/Antídoto: Repetir cada 3-5 min según respuesta; Premedicación: 30-60 min antes de anestesia,Dosis máxima acumulada bradicardia: 3 mg; Antídoto: Dosis altas según necesidad clínica,"IV, IM, SC","Bradicardia sinusal sintomática, bloqueo AV, premedicación anestésica, intoxicación por inhibidores colinesterasa (organofosforados, carbamatos) y hongos muscarínicos","Boca seca, visión borrosa (midriasis, ciclopejia), taquicardia, sofocos, retención urinaria, estreñimiento, anhidrosis, confusión, delirio (dosis altas)","Hipersensibilidad, glaucoma de ángulo estrecho, hiperplasia prostática sintomática con retención urinaria, íleo paralítico, estenosis pilórica, miastenia gravis"
Atropina Oftálmica,Anticolinérgico,1 gota (1%),Según necesidad,Sin máx. fijo,Oftálmica,Midriasis,"Visión borrosa, taquicardia",Glaucoma
Atropina/Difenoxilato,Anticolinérgico/Antidiarreico,Difenoxilato 2.5 mg / Atropina 0.025 mg,"Inicial 2 dosis 4 veces día, luego ajustar",8 dosis día,Oral,Diarrea,"Boca seca, sedación, estreñimiento, mareo, visión borrosa, retención urinaria, confusión, depresión respiratoria","Hipersensibilidad, ictericia obstructiva, diarrea infecciosa/toxinas, colitis pseudomembranosa, niños <6 años"
Avanafil,Inhibidor PDE5,Inicial: 100 mg; Ajuste: 50-200 mg,Según necesidad 15-30 min antes actividad sexual,200 mg/día,Oral,Disfunción eréctil,"Cefalea, flushing, congestión nasal, dolor espalda, dispepsia","Hipersensibilidad, uso concomitante nitratos/riociguat, eventos CV recientes graves, hipotensión, HTA no controlada, angina inestable, I.H./I.R. grave"
Avapritinib,Inhibidor Tirosina Quinasa,GIST: 300 mg día; Mastocitosis: 200 mg día,Una vez al día,300 mg/día,Oral,GIST mutación PDGFRA D842V; Mastocitosis Sistémica Avanzada,"Edema, fatiga, náuseas, vómitos, diarrea, anemia, deterioro cognitivo, aumento lacrimación, hemorragia intracraneal",Hipersensibilidad
