name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Cepalin (Extracto de cebolla + Heparina),Cicatrizante,Aplicar 3 - 4 veces al día con masaje,3 - 4 veces al día,No especificado,Tópico,Cicatrices / Queloides (Contractubex),"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Cetirizina, clorhidrato",Antihistamínico,"6-12 m: 2.5 mg/día

2-5 a: 2.5 mg c/12h o 5 mg/día

>6 a: 5 - 10 mg/día",DUD o c/12 h,10 mg/día,VO (Oral),Rinitis alérgica / Urticaria,"Emb: B

Lact: Precaución (B)","Hígado: Intervalo (I)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Intervalo (I)

Riñón: Intervalo (I)",Aceptado (B),Precaución,,Intervalo entre dosis debe prolongarse
Cetirizina / Fenilefrina,Antihistamínico / Descongestionante,"2-5 años: 2.5 ml c/12h

6-11 años: 5-10 ml c/12-24h

>12 años: 1 cápsula c/12h",c/12 - 24 h,No especificado,VO (Oral),Congestión nasal / Alergias,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Precaución,No requiere ajuste,Evitar su uso
Cetirizina / Fenilefrina / Acetaminofén,Antihistamínico / Descong / Analgésico,>12 años: 1 cápsula,c/12 h,No especificado,VO (Oral),Gripe con congestión y dolor,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Evitar (X)",Restringido (C),Precaución,,Evitar su uso
Cianocobalamina,Vitamina B12,Véase Vitamina B12,-,-,-,-,-,-,yes,- | -,,,,
Ciclesonida,Corticosteroide inhalado,80 - 160 µg (1 o 2 disparos),1 vez al día,320 µg/día,Inhalado,Asma persistente,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Ciclobenzaprina, clorhidrato",Relajante muscular,"5 mg/dosis

Max: 30 mg/día (x 2-3 semanas)",c/8 h,30 mg/día,VO (Oral),Espasmos musculares agudos,"Emb: B

Lact: Precaución (A)","Hígado: Precaución (C)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Precaución (A) | Hígado: Precaución (C)

Riñón: Evitar (X)",Aceptado (B),Seguro (Compatible),,Evitar su uso
Ciclofosfamida (CYT),Antineoplásico / Inmunosupresor,"Inducción: 40-50 mg/kg (dividido 2-5 días)

Mantenimiento:2-5 mg/kg/día (VO) o 10-15 mg/kg (IV c/7-10d)",Variable según protocolo,No especificado,IV / VO,Leucemias / Linfomas / S. Nefrótico,"Emb: D (Teratogénico)

Lact: Evitar (D)","Hígado: Precaución (C)

Riñón: Precaución (D)",yes,"Emb: D (Teratogénico)

Lact: Evitar (D) | Hígado: Precaución (C)

Riñón: Precaución (D)",Riesgo (D),Contraindicado,,Dosis debe disminuirse
"Ciclopentolato, clorhidrato",Anticolinérgico / Midriático,1 gota en saco conjuntival,Repetir a los 5 min (según necesidad),No especificado,Oftálmica,Fondo de ojo / Refracción,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ciclopirox (Ciclopiroxolamina),Antimicótico tópico,Aplicar una capa delgada,2 veces al día (crema) / c/48h (laca),No especificado,Tópico / Laca,Tiña / Onicomicosis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cicloserina,Antibiótico (Antituberculoso),10 - 20 mg/kg/día,c/12 h,1 g/día (Adultos),VO (Oral),Tuberculosis resistente,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
"Clindamicina, fosfato",Antibiótico lincosánido tópico,Aplicar en zona afectada,2 veces al día,No especificado,Tópico,Acné vulgar,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Clobazam,Benzodiacepina (Ansiolítico),"<15 años: 5 mg/día

>15 años: 5 - 10 mg/día",c/8 - 12 h,20 - 30 mg/día,VO (Oral),Ansiedad / Anticonvulsivo,"Emb: D (Riesgo)

Lact: Precaución (A)","Hígado: Precaución (D)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (A) | Hígado: Precaución (D)

Riñón: Seguro (A)",Riesgo (D),Seguro (Compatible),,No requiere ajuste
"Clobetasol, propionato",Corticosteroide tópico (Potente),Aplicar capa fina en zona afectada,2 veces al día,No usar > 14 días,Tópico,Dermatosis inflamatorias severas,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Clomipramina, clorhidrato",Antidepresivo tricíclico,10 - 50 mg/día(iniciar con 25 mg),1 vez al día (noche),200 mg/día,VO (Oral),Depresión / TOC,"Emb: D (Riesgo)

Lact: Precaución (B)","Hígado: Precaución (D)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (B) | Hígado: Precaución (D)

Riñón: Seguro (A)",Riesgo (D),Precaución,,No requiere ajuste
Clomifeno,Inductor de la ovulación,50 mg/día,c/24 h (por 5 días),100 mg/día,VO (Oral),Inducción ovulación / Infertilidad,"Emb: X (Contraindicado)

Lact: Precaución (C)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: X (Contraindicado)

Lact: Precaución (C) | Hígado: Precaución (B)

Riñón: Seguro (A)",Contraindicado (X),Contraindicado,,No requiere ajuste
Clonazepam,Benzodiacepina (Anticonvulsivo),"<10 años: 0.01 - 0.03 mg/kg/día

>10 años: 1.5 mg/día",c/8 h (dividido en 3 tomas),0.2 mg/kg/día (niños),VO (Oral),Epilepsia / Pánico / Ansiedad,"Emb: D (Riesgo)

Lact: Precaución (A)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (A) | Hígado: Precaución (B)

Riñón: Seguro (A)",Riesgo (D),Seguro (Compatible),,No requiere ajuste
"Clonidina, clorhidrato",Antihipertensivo (Agonista alfa-2),"5 - 10 µg/kg/día

TDAH: 0.05 mg/día",c/8 - 12 h,0.9 mg/día,VO (Oral),Hipertensión / TDAH / Abstinencia,"Emb: C

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Contraindicado,No requiere ajuste,No requiere ajuste
"Clopidogrel, sulfato",Antiagregante plaquetario,"<2 años: 1 mg/kg

>2 años: 1 mg/kg (Max 75mg)",c/24 h (DUD),75 mg/día,VO (Oral),Prevención trombosis / ACV,"Emb: B

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Aceptado (B),Precaución,,No requiere ajuste
Clorambucil,Antineoplásico (Alquilante),0.1 - 0.2 mg/kg/día,Dosis única diaria,No especificado,VO (Oral),Leucemia / Linfoma / S. Nefrótico,"Emb: D (Riesgo)

Lact: Evitar (D)","Hígado: Precaución (B)

Riñón: Precaución (X)",yes,"Emb: D (Riesgo)

Lact: Evitar (D) | Hígado: Precaución (B)

Riñón: Precaución (X)",Riesgo (D),Precaución,,Evitar su uso
"Cloranfenicol, estearato",Antibiótico (Bacteriostático),50 - 100 mg/kg/día,c/6 h,2 - 3 g/día,VO (Oral),Fiebre tifoidea / Meningitis / Abscesos,"Emb: C

Lact: Evitar (B)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Evitar (B) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Cloranfenicol, succinato",Antibiótico sistémico,50 - 100 mg/kg/día,c/6 h,100 mg/kg/día,IV,Meningitis / Sepsis,"Emb: C

Lact: Evitar (B)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Evitar (B) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Clorazepato dipotásico,Benzodiacepina (Ansiolítico),"<9 años: 0.03 mg/kg/día (Inicio)

Mant: 0.5 - 3 mg/kg/día",c/8 - 12 h,60 mg/día,VO (Oral),Ansiedad / Abstinencia alcohol,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,,No requiere ajuste
Clorfeniramina / Acetaminofén / Fenilefrina,Antihistamínico / Analgésico / Descong.,"2-4 años: 5 ml c/6h

4-6 años: 7.5 ml c/6h",c/6 h,No especificado,VO (Oral),Gripe / Resfriado común,"Emb: B / C

Lact: Precaución (C)","Hígado: Precaución (C)

Riñón: Precaución (C)",yes,"Emb: B / C

Lact: Precaución (C) | Hígado: Precaución (C)

Riñón: Precaución (C)",Aceptado (B),Contraindicado,,
"Clorfeniramina, maleato",Antihistamínico,"0.35 mg/kg/día

2-5 años: 1 mg/dosis",c/6 h,12 mg/día (según edad),VO / IV / IM,Rinitis alérgica / Urticaria,"Emb: B

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,No requiere ajuste,No requiere ajuste
Clorfeniramina / Dextrometorfano,Antihistamínico / Antitusivo,"2-5 años: 2.5 ml

6-11 años: 5 ml",c/6 h,No especificado,VO (Oral),Tos irritativa / Alergia,"Emb: B

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,No requiere ajuste,No requiere ajuste
"Clorhexidina, digluconato",Antiséptico tópico,Enjuague: 10 ml x 30 seg,2 a 3 veces al día,No especificado,Tópico (Buca),Gingivitis / Placa bacteriana,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Cloroprocaina, clorhidrato",Anestésico local,Bloqueo: 11 mg/kg (sin adrenalina),Según procedimiento,800 mg,Infiltración,Anestesia local / Bloqueo,"Emb: C

Lact: Seguro (A)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),,No requiere ajuste
Clorofenotiazinilscopina,Antiemético,"1 gota/kg/día

1 comp: c/8 h",c/8 h,No especificado,VO / IM,Vómitos / Nauseas,"Emb: B

Lact: Evitar (D)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Evitar (D) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Clorpromazina, clorhidrato (CPZ)",Antipsicótico / Antiemético,"Antiemético: 0.5 - 1 mg/kg/dosis

Psicosis: 0.5 - 1 mg/kg/dosis",c/6 - 8 h,No especificado,VO / IM / IV,Psicosis / Vómito severo / Hipo,"Emb: C

Lact: Evitar (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Evitar (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Precaución,No requiere ajuste,Evitar su uso
"Cloroquina, fosfato",Antimalárico / Amebicida,"10 mg/kg (inicial), luego 5 mg/kg","A las 6, 24 y 48 h",No especificado,VO (Oral),Malaria / Amebiasis extraintestinal,"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Clortalidona,Diurético tiazídico,1 - 2 mg/kg/día,c/24 h,2 mg/kg/día,VO (Oral),Edema / Hipertensión,"Emb: B

Lact: Precaución (A)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (A) | Hígado: Precaución (B)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cloruro de magnesio,Electrolito,0.2 - 0.4 mEq/kg/dosis,c/4 - 6 h,No especificado,VO / IV,Hipomagnesemia,"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Cloruro de potasio (KCl),Electrolito,"Hipokalemia: 3 - 4 mEq/kg/día

Mant: 2 - 8 mEq/kg/día",c/24 h (o dividido),3 mEq/kg/día (IV),VO / IV,Hipokalemia / Aporte electrolítico,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cloruro de sodio (NaCl),Electrolito,"Mant: 2 - 8 mEq/kg/día

Hiponatremia:Fórmula déficit",c/24 h (o según bomba),No especificado,IV / VO,Hiponatremia / Deshidratación,"Emb: C

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Restringido (C),Precaución,No requiere ajuste,Intervalo entre dosis debe prolongarse
Cloruro de sodio / Cloruro de potasio (Corpaúl),Solución salina balanceada,1 gota en saco conjuntival,c/3 a 4 h,No especificado,Oftálmica,Edema corneal / Descongestionante,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cloruro de Zinc,Antiséptico bucofaríngeo,Diluir 10 gotas en 1/4 vaso agua,Hacer enjuagues,No especificado,Tópico (Buca),Afecciones bucales,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Clorzoxazona,Relajante muscular,20 mg/kg/día,c/6 - 8 h,No especificado,VO (Oral),Espasmos musculares,"Emb: C

Lact: Precaución (D)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (D) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cloxacilina,Antibiótico (Penicilina),50 - 100 mg/kg/día,c/6 h,4 g/día,VO / IV,Infecciones estafilocócicas,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Clozapina,Antipsicótico atípico,12.5 - 475 mg/día(iniciar bajo),c/12 - 24 h,900 mg/día (Adultos),VO (Oral),Esquizofrenia refractaria,"Emb: B

Lact: Evitar (C)","Hígado: Precaución (B)

Riñón: Precaución (A)",yes,"Emb: B

Lact: Evitar (C) | Hígado: Precaución (B)

Riñón: Precaución (A)",Aceptado (B),Contraindicado,,No requiere ajuste
"Cocaína, clorhidrato",Anestésico tópico,Aplicar en mucosas al 1 a 4%,Dosis única,Máx: 1 - 3 mg/kg,Tópico,Anestesia local (ORL),"Emb: C/X

Lact: Contraindicado (X)","Hígado: Evitar (D)

Riñón: Evitar (X)",yes,"Emb: C/X

Lact: Contraindicado (X) | Hígado: Evitar (D)

Riñón: Evitar (X)",Restringido (C),,,Evitar su uso
"Codeína, fosfato / Acetaminofén",Analgésico opioide débil,0.5 - 1 mg (codeína)/kg/dosis,c/4 - 6 h,No especificado,VO (Oral),Dolor moderado a severo,"Emb: C/D

Lact: Precaución (A)","Hígado: Precaución (A)

Riñón: Evitar (X)",yes,"Emb: C/D

Lact: Precaución (A) | Hígado: Precaución (A)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),No requiere ajuste,Evitar su uso
"Cobre, sulfato",Antídoto,0.25 - 0.3 g,Dosis única,No especificado,VO (Oral),Intoxicación por fósforo inorgánico,"Emb: C

Lact: Precaución (C)","Hígado: Evitar (D)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Evitar (D)

Riñón: Evitar (X)",Restringido (C),Contraindicado,,Evitar su uso
Colchicina,Antigotoso,"Crisis: 0.6 mg (1 tab) cada hora

Profilaxis: 0.5 mg/kg/semana","Crisis: c/1-2h

Prof: 1 ó 2 sem",Hasta aliviar dolor o diarrea,VO (Oral),Gota (Crisis aguda) / Fiebre mediterránea,"Emb: D (Riesgo)

Lact: Seguro (A)","Hígado: Precaución (D)

Riñón: Precaución (A)",yes,"Emb: D (Riesgo)

Lact: Seguro (A) | Hígado: Precaución (D)

Riñón: Precaución (A)",Riesgo (D),Seguro (Compatible),,No requiere ajuste
Colecalciferol,Vitamina D3,Véase Vitamina D3,-,-,-,-,-,-,yes,- | -,,,,
"Colestipol, clorhidrato",Hipolipemiante (Resina),5 - 10 g/día,c/12 - 24 h,No especificado,VO (Oral),Hipercolesterolemia,"Emb: B

Lact: Seguro (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,No requiere ajuste,No requiere ajuste
"Colfoceril, palmitato",Surfactante sintético,"5 ml/kg (al nacer, a las 12 y 24h)",Dosis a las 12 y 24h,No especificado,Intratraqueal (IT),Profilaxis/Rescate SDR Neonatal,"Emb: ?

Lact: ?","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: ?

Lact: ? | Hígado: Seguro (A)

Riñón: Seguro (A)",,Seguro (Compatible),No requiere ajuste,No requiere ajuste
Colistimetato sódico (Colistina),Antibiótico (Polimixina),2.5 - 5 mg/kg/día,c/6 - 12 h,No especificado,IV / IM / Inhalado,Infecciones Gram-negativos multirresistentes,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Precaución,No requiere ajuste,Dosis debe disminuirse
"Complejo B (B1, B6, B12)",Vitamina hidrosoluble,0.5 ml IM semanal,Semanal,No especificado,IM,Déficit vitamínico / Neuritis,"Emb: A/C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A/C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Complejo coagulante inhibidor (AICC),Agente antihemorrágico,50 - 100 UI/kg/dosis,c/12 h,100 UI/kg/dosis,IV,Hemofilia con inhibidores,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Complemento calórico,Suplemento nutricional,1 medida (5 g) = 20 Kcal,Según necesidad,No especificado,VO (Oral),Desnutrición / Aporte calórico,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Complemento nutricional,Fórmula polimérica,Adultos: 1 a 3 cucharadas o medidas en un vaso de agua,1 a 3 veces al día,No especificado,VO (Oral),Suplementación dietaria,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Complemento proteico,Suplemento proteico,3 - 10 g c/8h,c/8 h,No especificado,VO (Oral),Hipoproteinemia / Desnutrición,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Coprofloxacina (Ciprofloxacina),Antibiótico (Fluoroquinolona),20 - 30 mg/kg/día,c/12 h,1.5 g/día (Adultos),VO / IV,Infecciones (Limitado en pediatría),"Emb: C

Lact: Precaución (B)","Hígado: Precaución (C)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (C)

Riñón: Intervalo (I)",Restringido (C),Precaución,,Intervalo entre dosis debe prolongarse
"Cortisona, acetato",Corticosteroide,2.5 - 10 mg/kg/día(Fisiológica: 0.25-0.35),c/12 - 24 h,300 mg/m²/día,IM / VO,Insuficiencia adrenal / Inflamación,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Cosintropina (ACTH sintética),Agente diagnóstico,"<2 años:0.125 mg

>2 años: 0.25 mg",Dosis única,No especificado,IM / IV,Prueba estimulación suprarrenal,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Cotrimazina / Cotrimazol,Antibiótico,Véase Trimetoprim / Sulfadiazina,-,-,-,-,-,-,yes,- | -,,,,
Crioprecipitado,Hemoderivado,1 bolsa = 80 - 100 U Factor VIII,Según nivel deseado,No especificado,IV,Hemofilia A / Déficit Fibrinógeno / Von Willebrand,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cromoglicato sódico,Antialérgico / Estabilizador mastocitos,"Rinitis: 2-3 atomizaciones

Ojo: 1-2 gotas",c/fosa nasal o c/ojo c/6 h,No especificado,Nasal / Oftálmica,Rinitis alérgica / Conjuntivitis alérgica,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Crotamitón,Escabicida / Antipruriginoso,Aplicar 2 ó 3 veces al día,2 ó 3 veces al día,No especificado,Tópico,Prurito / Escabiosis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dacarbazina,Antineoplásico (Alquilante),200 - 470 mg/m²,c/21 - 28 días,No especificado,IV,Linfoma Hodgkin / Melanoma,"Emb: C

Lact: Evitar (X)","Hígado: Reducir Dosis (D)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Evitar (X) | Hígado: Reducir Dosis (D)

Riñón: Reducir Dosis (D)",Restringido (C),,,Dosis debe disminuirse
Daclizumab,Inmunosupresor,1 mg/kg,Cada 14 días x 5 dosis,No especificado,IV,Profilaxis rechazo trasplante renal,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Dactinomicina,Antineoplásico,15 µg/kg/día(o 400-600 µg/m²),IV x 5 días (repetir c/3 a 6 sem),No especificado,IV,Tumor Wilms / Sarcomas,"Emb: D

Lact: Evitar (D)","Hígado: Precaución (C)

Riñón: Reducir Dosis (D)",yes,"Emb: D

Lact: Evitar (D) | Hígado: Precaución (C)

Riñón: Reducir Dosis (D)",Riesgo (D),Contraindicado,,Dosis debe disminuirse
Dalteparina sódica,Anticoagulante (HBPM),200 UI/kg/día(DUD o c/12h),c/24 h (DUD) o c/12 h,18.000 UI/día,SC (Subcutánea),Trombosis venosa profunda / Profilaxis,"Emb: B

Lact: Seguro (A)","Hígado: Precaución (A)

Riñón: Precaución (X)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Precaución (A)

Riñón: Precaución (X)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Evitar su uso
Dantroleno,Relajante muscular directo,"Espasticidad:0.5 mg/kg/dosis

Hipertermia:1 mg/kg (repetir)",c/12 h (luego c/6-8h),"Espast: 3 mg/kg/día

Hipert: 10 mg/kg",VO / IV,Espasticidad / Hipertermia maligna,"Emb: C

Lact: Precaución (B)","Hígado: Evitar (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (D)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Dapsona,Antileproso / Antibiótico,1 - 2 mg/kg/día,DUD (Una vez al día),100 mg/día,VO (Oral),Lepra / Dermatitis herpetiforme,"Emb: C

Lact: Precaución (C)","Hígado: Precaución (D)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Precaución (D)

Riñón: Reducir Dosis (D)",Restringido (C),Contraindicado,,Dosis debe disminuirse
